Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2010",,,,,,,,,,,
State,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,Evergreen,36,0,0,6,30,188,60,124,4,
,Excel,4,0,0,0,4,8,1,7,0,
,Fairfield,105,4,5,36,60,"1,352",396,869,87,
,Falkville,3,0,1,0,2,45,13,27,5,
,Fayette,14,0,0,2,12,105,10,87,8,
,Flomaton,2,0,0,0,2,31,4,26,1,
,Florala,9,0,0,0,9,65,2,56,7,
,Florence2,,1,12,,58,,,"1,475",30,11
,Foley,45,0,4,4,37,501,63,408,30,
,Fort Deposit,14,0,0,0,14,52,2,45,5,
,Fultondale,3,0,1,1,1,231,18,202,11,
,Gadsden,318,5,30,110,173,"2,620",681,"1,797",142,22
,Gantt,1,0,0,0,1,2,0,2,0,
,Gardendale,30,2,1,14,13,516,91,405,20,
,Georgiana,7,0,0,1,6,39,6,32,1,
,Geraldine,2,0,0,0,2,20,2,13,5,
,Glencoe,18,0,4,0,14,139,39,97,3,
,Gordo,4,0,0,0,4,16,3,13,0,
,Grant,3,0,0,0,3,24,5,16,3,
,Graysville,0,0,0,0,0,3,0,3,0,
,Greenville,31,0,0,7,24,362,74,270,18,
,Grove Hill,10,0,0,2,8,24,12,10,2,
,Guin,7,0,0,0,7,28,0,23,5,
,Gulf Shores,24,1,9,4,10,469,28,428,13,
,Guntersville2,34,0,7,8,19,,,556,29,1
,Gurley,1,0,0,0,1,3,2,0,1,
,Hackleburg,4,0,0,0,4,35,3,27,5,
,Haleyville,10,0,2,0,8,196,8,178,10,
,Hamilton,6,0,0,0,6,171,10,152,9,
,Hammondville,0,0,0,0,0,5,0,5,0,
,Hanceville,12,0,2,2,8,94,8,78,8,
,Harpersville,3,0,0,0,3,7,1,5,1,
,Hartford,12,0,2,0,10,112,9,98,5,0
,Hartselle,8,0,2,0,6,560,80,457,23,
,Heflin,12,0,1,0,11,67,13,50,4,
,Helena,8,0,1,0,7,102,12,85,5,
,Henagar,5,0,0,0,5,63,19,44,0,
,Highland Lake,0,0,0,0,0,2,0,2,0,
,Hillsboro,3,0,1,0,2,1,0,0,1,
,Hokes Bluff,3,0,0,1,2,44,2,40,2,
,Hollywood,2,0,0,0,2,9,0,9,0,
,Homewood,114,0,3,69,42,"1,540",298,"1,156",86,
,Hoover,75,1,3,47,24,"2,172",397,"1,670",105,2
