Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2010",,,,,,,,,,,
State,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,Weston,38,0,3,5,30,756,135,585,36,1
,West Palm Beach,789,19,49,264,457,"5,052","1,246","3,415",391,17
,West Park,83,2,2,34,45,606,232,321,53,1
,White Springs,6,0,0,1,5,23,4,15,4,0
,Wildwood,43,0,2,3,38,138,46,86,6,0
,Williston,29,0,0,4,25,122,27,89,6,2
,Wilton Manors,65,4,0,39,22,590,160,396,34,0
,Windermere,0,0,0,0,0,10,2,8,0,0
,Winter Garden,160,0,6,30,124,"1,074",197,821,56,8
,Winter Haven,244,2,10,68,164,"1,915",368,"1,462",85,6
,Winter Park,69,0,2,26,41,879,272,565,42,4
,Winter Springs,56,0,5,9,42,412,112,278,22,1
,Zephyrhills,65,1,4,23,37,943,232,688,23,0
GEORGIA,Acworth,14,0,0,5,9,426,35,366,25,0
,Adairsville,17,0,1,6,10,148,38,107,3,0
,Adel,10,0,2,2,6,269,105,158,6,0
,Alamo,1,0,0,0,1,32,11,20,1,0
,Albany,722,11,28,203,480,"5,037","1,629","3,108",300,15
,Alma,29,1,4,6,18,127,34,89,4,1
,Alpharetta,49,0,2,24,23,"1,467",189,"1,253",25,1
,Alto,2,0,0,0,2,12,3,8,1,0
,Americus,271,0,1,36,234,"1,176",471,666,39,
,Aragon,0,0,0,0,0,23,0,23,0,0
,Arcade,3,0,0,0,3,22,12,10,0,0
,Athens-Clarke County,371,5,29,110,227,"4,931","1,334","3,299",298,15
,Atlanta,"5,749",93,89,"2,162","3,405","30,800","8,016","17,741","5,043",95
,Attapulgus,0,0,0,0,0,0,0,0,0,0
,Auburn,4,0,0,1,3,70,25,32,13,
,Austell,42,0,1,3,38,267,55,188,24,
,Avondale Estates,4,1,0,3,0,98,8,82,8,0
,Bainbridge,99,1,3,21,74,654,178,462,14,
,Ball Ground,2,0,0,1,1,30,10,18,2,0
,Barnesville,57,1,3,6,47,181,35,133,13,0
,Baxley,28,0,2,6,20,262,62,194,6,1
,Berlin,0,0,0,0,0,2,1,1,0,0
,Blackshear,24,0,6,4,14,198,55,133,10,0
,Blairsville,0,0,0,0,0,0,0,0,0,0
,Blakely,34,0,1,0,33,129,41,86,2,
,Bloomingdale,0,0,0,0,0,69,20,45,4,
,Blythe,0,0,0,0,0,9,1,8,0,0
,Bowdon,23,0,0,0,23,65,18,44,3,0
,Braselton,10,0,4,5,1,106,9,84,13,0
,Brooklet,0,0,0,0,0,18,3,15,0,0
,Brunswick,238,2,8,76,152,"1,418",406,960,52,8
,Buchanan,2,0,0,0,2,70,20,47,3,0
,Buena Vista,18,0,0,4,14,61,13,46,2,0
,Butler,10,0,0,1,9,16,5,8,3,0
,Cairo,22,0,6,8,8,269,61,191,17,
,Calhoun,38,0,3,9,26,685,149,513,23,9
,Camilla,67,0,2,6,59,210,55,151,4,0
,Canton,17,0,3,5,9,471,51,394,26,1
,Carrollton,318,2,13,27,276,"1,400",253,"1,107",40,10
,Cartersville,58,0,7,16,35,904,161,692,51,2
,Cave Spring,4,0,0,0,4,25,5,15,5,
,Cedartown,56,0,7,5,44,313,68,224,21,0
,Centerville,19,0,5,6,8,267,44,219,4,2
,Chamblee,91,2,2,60,27,677,80,540,57,
,Chatsworth,14,0,0,0,14,146,19,124,3,1
,Chattahoochee Hills,14,1,0,0,13,35,10,19,6,0
,Chickamauga,10,0,0,0,10,82,21,61,0,0
,Clarkesville,13,0,0,0,13,43,5,37,1,0
,Claxton,10,0,0,1,9,138,32,99,7,
,Cleveland,37,0,0,1,36,226,84,137,5,0
,Climax,0,0,0,0,0,0,0,0,0,0
,Cochran,15,0,2,3,10,210,60,148,2,1
,College Park,293,10,21,154,108,"2,237",592,"1,348",297,6
,Colquitt,6,0,3,0,3,40,16,23,1,0
,Columbus,"1,005",15,38,477,475,"13,442","3,454","8,981","1,007",65
,Commerce,24,0,2,2,20,180,27,145,8,1
,Conyers,74,4,2,34,34,"1,020",205,757,58,2
,Coolidge,2,0,0,1,1,12,6,2,4,0
,Cordele,85,1,7,31,46,874,222,619,33,1
,Cornelia,12,0,4,3,5,181,28,148,5,0
,Cumming,17,2,2,2,11,368,51,309,8,0
,Cuthbert,5,0,0,4,1,63,15,47,1,
,Dallas,41,1,1,5,34,348,83,236,29,0
,Dalton,76,0,4,27,45,"1,182",285,838,59,4
,Danielsville,6,0,0,0,6,25,5,19,1,0
,Dawson,31,0,0,4,27,97,97,0,0,0
,Decatur,35,1,2,21,11,577,100,431,46,0
,Dillard,0,0,0,0,0,0,0,0,0,0
,Donalsonville,5,0,0,1,4,61,15,44,2,0
,Doraville,83,0,1,26,56,376,68,285,23,0
,Douglasville,209,1,9,36,163,"2,173",221,"1,863",89,4
,Dublin,145,0,3,42,100,"1,400",314,"1,046",40,2
,Duluth,42,1,3,15,23,643,140,469,34,0
,Dunwoody,103,3,8,50,42,"1,691",240,"1,334",117,
,East Dublin,24,0,0,2,22,97,25,70,2,0
,East Ellijay,3,0,0,0,3,70,2,67,1,0
,Eastman,52,0,3,8,41,488,79,401,8,0
,East Point,359,7,15,205,132,"3,644","1,228","1,955",461,6
,Edison,6,0,0,3,3,17,9,6,2,
,Elberton,37,0,2,6,29,489,134,347,8,
,Ellaville,2,0,0,0,2,20,7,13,0,
,Ellijay,0,0,0,0,0,0,0,0,0,0
,Emerson,6,0,1,1,4,34,3,28,3,1
,Enigma,8,0,0,0,8,28,4,24,0,0
,Ephesus,0,0,0,0,0,0,0,0,0,0
,Eton,2,0,0,0,2,14,6,8,0,0
,Fairburn,39,0,2,14,23,500,144,302,54,0
,Fairmount,1,0,0,0,1,19,7,11,1,0
,Fayetteville,39,1,3,13,22,414,58,332,24,
,Flowery Branch,0,0,0,0,0,50,16,34,0,
,Folkston,14,0,1,1,12,90,23,61,6,0
,Forest Park,183,2,10,95,76,"1,033",247,688,98,7
,Forsyth,21,0,2,6,13,190,17,164,9,0
,Fort Gaines,0,0,0,0,0,0,0,0,0,0
,Fort Oglethorpe,30,0,2,10,18,528,62,459,7,0
,Fort Valley,111,0,2,14,95,502,147,342,13,0
,Franklin,7,0,1,0,6,40,3,35,2,
,Franklin Springs,0,0,0,0,0,12,1,11,0,0
,Gainesville,119,1,17,39,62,"1,623",278,"1,283",62,3
,Garden City,142,0,1,20,121,545,142,337,66,4
,Glennville,11,0,0,7,4,120,34,82,4,0
,Gordon,0,0,0,0,0,29,6,22,1,0
,Grantville,11,0,1,0,10,48,19,20,9,
,Greensboro,32,0,1,0,31,167,41,120,6,
,Greenville,11,0,0,1,10,50,10,38,2,0
,Griffin,152,6,7,48,91,"1,632",285,"1,285",62,6
,Grovetown,66,0,0,6,60,218,51,155,12,0
,Guyton,5,0,3,0,2,24,11,9,4,1
,Hahira,5,0,2,0,3,34,4,27,3,0
,Hampton,18,0,1,5,12,142,36,98,8,0
,Hapeville,34,1,2,20,11,392,96,230,66,0
,Harlem,13,0,3,2,8,41,14,27,0,0
,Harrison,0,0,0,0,0,0,0,0,0,0
,Hartwell,20,0,0,7,13,336,32,290,14,0
,Hazlehurst,7,0,0,2,5,248,52,195,1,0
,Helen,9,0,0,0,9,80,6,72,2,0
,Helena,3,0,0,0,3,14,13,1,0,
,Hephzibah,15,0,0,0,15,139,46,79,14,0
,Hiawassee,5,0,1,0,4,21,1,20,0,0
,Hinesville,149,5,9,45,90,"1,660",448,"1,148",64,5
,Hiram,23,0,2,10,11,283,23,255,5,0
,Hoboken,0,0,0,0,0,4,1,2,1,0
,Hogansville,30,0,2,1,27,93,28,59,6,0
,Holly Springs,6,0,0,0,6,91,19,69,3,0
,Homeland,0,0,0,0,0,4,1,3,0,0
,Homerville,30,1,1,7,21,122,29,87,6,0
,Irwinton,0,0,0,0,0,0,0,0,0,0
,Jackson,10,0,1,3,6,118,23,89,6,
,Jefferson,13,0,2,4,7,160,42,103,15,1
,Jesup,62,0,6,22,34,673,127,510,36,1
,Johns Creek,50,0,5,13,32,644,159,471,14,0
,Jonesboro,25,0,4,3,18,140,32,93,15,
,Kennesaw,20,0,2,5,13,526,110,394,22,0
,Keysville,0,0,0,0,0,0,0,0,0,0
,Kingsland,70,0,2,6,62,516,112,391,13,3
,Lafayette,35,0,0,0,35,441,64,373,4,13
,LaGrange,132,0,6,60,66,"1,686",376,"1,234",76,
,Lake City,11,0,0,10,1,176,23,126,27,3
,Lavonia,10,0,1,5,4,113,24,86,3,
,Lawrenceville,98,4,5,54,35,"1,251",263,907,81,5
,Leary,0,0,0,0,0,0,0,0,0,0
,Leesburg,16,0,3,2,11,101,14,82,5,0
,Lilburn,47,0,2,24,21,577,108,441,28,0
,Locust Grove,10,0,2,5,3,258,47,199,12,0
,Loganville,13,0,3,3,7,320,55,241,24,0
,Lookout Mountain,0,0,0,0,0,10,2,8,0,0
,Ludowici,5,0,1,2,2,47,20,25,2,
,Lumber City,8,0,0,1,7,26,10,16,0,0
,Lumpkin,10,0,0,4,6,17,10,4,3,2
,Macon,708,22,34,284,368,"7,277","2,136","4,516",625,72
,Madison,16,1,2,3,10,182,49,119,14,0
,Manchester,19,0,0,1,18,273,115,144,14,1
,Marietta,462,2,10,136,314,"2,857",723,"1,968",166,6
,Maysville,3,0,0,0,3,29,7,22,0,0
,McCaysville3,2,0,0,0,2,,10,,1,0
,McDonough,101,0,8,13,80,843,139,638,66,0
,McIntyre,2,0,0,1,1,37,10,24,3,0
,McRae,19,0,0,1,18,90,19,66,5,0
,Meigs,8,0,0,1,7,18,7,11,0,0
,Midville,0,0,0,0,0,0,0,0,0,0
,Midway,14,0,2,3,9,69,23,43,3,0
,Milledgeville,59,3,7,19,30,984,290,661,33,3
,Milton,13,0,4,2,7,314,53,252,9,0
,Monroe,37,2,2,8,25,665,200,430,35,1
,Montezuma,56,1,0,3,52,168,42,116,10,0
,Morrow,26,0,0,19,7,955,70,819,66,1
,Moultrie,114,4,8,44,58,"1,311",322,925,64,3
,Mountain City,0,0,0,0,0,1,0,1,0,0
,Mount Airy,2,0,0,0,2,7,5,2,0,0
,Mount Zion,0,0,0,0,0,13,0,9,4,0
,Nahunta,6,0,0,0,6,38,19,19,0,
,Nashville,34,0,3,7,24,235,94,136,5,4
,Newington,4,0,0,0,4,9,3,6,0,0
,Newnan,131,2,1,32,96,"1,216",302,859,55,
,Newton,1,0,0,1,0,3,0,3,0,0
,Nicholls,5,0,0,1,4,45,13,32,0,0
,Norcross,54,0,7,28,19,354,94,228,32,2
,Oakwood,19,0,0,2,17,214,33,168,13,
,Omega,0,0,0,0,0,0,0,0,0,0
,Oxford,3,0,0,0,3,36,11,24,1,0
,Palmetto,26,1,1,2,22,87,29,48,10,0
,Patterson,4,0,1,1,2,20,3,16,1,0
,Pavo,2,0,0,1,1,4,1,3,0,0
,Peachtree City,12,0,2,3,7,475,44,365,66,8
,Pembroke,3,0,0,0,3,67,16,48,3,
,Pine Lake,0,0,0,0,0,15,5,10,0,0
,Pine Mountain,8,0,1,2,5,84,23,59,2,0
,Plains,1,0,0,0,1,10,2,8,0,0
,Pooler,15,0,0,7,8,632,123,468,41,
,Porterdale,4,0,0,0,4,54,22,28,4,1
,Port Wentworth,17,0,1,3,13,131,26,90,15,0
,Poulan,3,0,0,0,3,22,5,17,0,
,Powder Springs,36,1,1,7,27,355,137,191,27,0
,Quitman,83,1,4,7,71,263,80,165,18,
,Reidsville,15,0,0,3,12,131,26,101,4,2
,Reynolds,0,0,0,0,0,0,0,0,0,0
,Richmond Hill,15,0,1,7,7,188,27,155,6,
,Rincon,4,1,0,3,0,184,22,157,5,
,Ringgold,24,0,3,0,21,196,24,167,5,0
,Riverdale,125,1,3,59,62,"1,017",338,606,73,
,Rockmart,33,0,7,3,23,166,52,105,9,0
,Rome,233,1,17,90,125,"1,990",447,"1,439",104,7
,Rossville,38,0,1,5,32,195,58,119,18,1
,Roswell,131,0,16,65,50,"1,862",429,"1,334",99,5
,Royston,1,0,0,0,1,56,0,56,0,0
,Sandersville,29,0,3,8,18,322,99,214,9,
,Sandy Springs,189,7,18,115,49,"2,666",718,"1,756",192,
,Savannah-Chatham Metropolitan,843,20,30,454,339,"9,202","2,552","6,026",624,43
,Screven,2,0,0,0,2,10,5,5,0,1
,Senoia,4,0,1,0,3,63,15,45,3,0
,Shiloh,0,0,0,0,0,3,0,3,0,0
,Sky Valley,0,0,0,0,0,5,0,5,0,0
,Snellville,61,0,1,19,41,749,75,652,22,0
,Social Circle,3,0,0,0,3,74,22,47,5,
,Sparta,11,0,1,1,9,75,41,34,0,0
,Springfield,4,0,1,0,3,68,16,47,5,0
,Statesboro,251,0,6,47,198,"1,457",288,"1,118",51,1
,Statham,16,0,1,4,11,85,33,45,7,0
,St. Marys,59,0,2,9,48,519,133,377,9,
,Suwanee,21,3,0,3,15,388,51,320,17,1
,Sylvania,12,0,0,3,9,150,37,109,4,1
,Sylvester,17,0,1,2,14,332,79,240,13,0
,Tallapoosa,1,0,1,0,0,142,29,99,14,1
,Tallulah Falls,0,0,0,0,0,2,1,1,0,0
,Temple,27,0,0,5,22,136,28,102,6,0
,Tennille,17,0,1,2,14,44,11,32,1,0
,Thomaston,57,0,2,16,39,455,120,312,23,1
,Thunderbolt,4,0,0,3,1,105,30,66,9,0
,Tifton,185,1,5,64,115,"1,285",328,916,41,4
,Tignall,1,0,0,0,1,5,1,4,0,0
,Toomsboro,0,0,0,0,0,0,0,0,0,0
,Trenton,3,0,0,0,3,35,4,25,6,1
,Tunnel Hill,10,0,0,2,8,46,12,30,4,0
,Tybee Island,6,0,0,1,5,107,12,94,1,0
,Tyrone,2,0,0,1,1,93,29,55,9,0
,Union City,347,2,6,43,296,"1,404",329,879,196,
,Union Point,1,0,1,0,0,63,17,42,4,0
,Valdosta,270,3,17,81,169,"2,633",856,"1,665",112,9
,Vidalia,108,1,5,35,67,819,200,568,51,3
,Villa Rica,109,0,5,6,98,514,88,380,46,2
,Warner Robins,341,4,19,95,223,"3,575",810,"2,589",176,23
,Washington,42,0,2,3,37,96,20,74,2,
,Watkinsville,3,0,0,1,2,72,16,55,1,1
,Waverly Hall,4,0,0,0,4,7,0,7,0,0
,Waycross,58,1,5,26,26,"1,084",177,880,27,5
,Waynesboro,41,3,1,13,24,314,76,211,27,0
,West Point,35,0,3,6,26,286,62,204,20,2
,Whigham,3,0,0,0,3,0,0,0,0,0
,Winder,116,0,4,8,104,705,162,527,16,2
,Winterville,3,0,0,0,3,18,4,14,0,0
,Woodbury,0,0,0,0,0,55,19,32,4,0
,Woodstock,48,0,7,8,33,518,77,432,9,
,Wrens,13,0,0,2,11,139,24,109,6,0
,Zebulon,3,0,0,0,3,36,4,30,2,
HAWAII,Honolulu,"2,548",19,218,891,"1,420","31,668","5,760","22,007","3,901",349
IDAHO,Aberdeen,2,0,0,0,2,9,7,2,0,0
,American Falls,7,0,3,0,4,61,3,58,0,1
,Bellevue,4,0,0,0,4,32,14,17,1,0
,Blackfoot,39,0,11,1,27,437,91,337,9,1
,Boise,539,3,89,58,389,"5,707",888,"4,660",159,50
,Bonners Ferry,4,0,1,1,2,21,6,14,1,0
,Buhl,15,0,0,0,15,95,24,70,1,5
,Caldwell,150,0,14,14,122,"1,167",274,837,56,7
,Cascade,0,0,0,0,0,3,0,3,0,0
,Chubbuck,46,0,4,8,34,511,44,448,19,1
,Coeur d'Alene,254,0,21,17,216,"1,579",284,"1,244",51,17
,Cottonwood,2,0,1,0,1,4,2,2,0,0
,Emmett,8,0,1,0,7,94,15,78,1,0
,Filer,1,0,0,0,1,11,3,7,1,0
,Fruitland,9,0,1,0,8,105,27,73,5,0
,Garden City,35,0,6,7,22,360,72,268,20,3
,Gooding,5,0,0,1,4,42,13,27,2,0
,Grangeville,3,0,1,0,2,74,14,58,2,0
,Hagerman,0,0,0,0,0,9,3,6,0,0
,Hailey,36,0,2,0,34,100,64,30,6,2
,Heyburn,4,0,0,0,4,24,11,12,1,0
,Idaho Falls,182,3,23,14,142,"1,582",327,"1,194",61,8
,Jerome,31,0,3,2,26,214,58,149,7,1
,Kamiah,2,0,0,0,2,12,1,11,0,0
,Kellogg,9,0,1,0,8,66,19,43,4,1
,Ketchum,13,0,1,0,12,105,15,87,3,0
,Kimberly,5,0,1,1,3,35,10,21,4,4
,Lewiston,53,0,20,2,31,"1,332",277,992,63,4
,McCall,12,0,4,1,7,142,18,121,3,0
,Meridian,108,3,17,11,77,"1,185",197,952,36,6
,Montpelier,8,0,2,0,6,60,19,39,2,0
,Moscow,20,0,5,2,13,557,81,457,19,5
,Mountain Home,64,0,8,6,50,336,51,276,9,13
,Nampa,275,2,51,17,205,"2,299",450,"1,721",128,23
,Orofino,12,0,2,1,9,53,12,40,1,1
,Osburn,2,0,0,0,2,16,7,9,0,0
,Parma,4,0,1,1,2,22,7,14,1,0
,Payette,37,0,7,0,30,215,66,147,2,2
,Pinehurst,0,0,0,0,0,23,7,14,2,0
,Pocatello,132,1,24,6,101,"1,726",296,"1,360",70,5
,Ponderay,2,0,0,0,2,85,7,76,2,0
,Post Falls,39,2,11,2,24,640,114,501,25,4
,Preston,3,0,2,0,1,21,0,21,0,0
,Priest River,2,0,2,0,0,34,11,22,1,0
,Rathdrum,15,0,2,2,11,168,57,105,6,0
,Rexburg,10,0,2,1,7,243,17,221,5,1
,Rigby,6,0,3,0,3,97,15,78,4,0
,Rupert,15,0,1,3,11,111,20,88,3,1
,Salmon,10,0,0,0,10,50,12,35,3,0
,Sandpoint,12,0,3,1,8,228,34,185,9,2
,Shelley,4,0,1,1,2,52,5,46,1,0
,Soda Springs,1,0,0,0,1,23,3,20,0,0
,Spirit Lake,3,0,0,0,3,20,3,15,2,0
,St. Anthony,3,0,1,0,2,32,2,28,2,0
,St. Maries,5,0,1,0,4,13,7,5,1,0
,Sun Valley,3,0,0,0,3,14,4,10,0,0
,Twin Falls,145,1,21,13,110,"1,374",219,"1,107",48,6
,Weiser,7,0,1,0,6,40,4,30,6,1
,Wendell,3,0,1,0,2,33,4,26,3,1
,Wilder,2,0,0,0,2,22,5,17,0,0
ILLINOIS5,Addison,67,0,16,17,34,827,109,662,56,12
,Albany,0,0,0,0,0,24,14,9,1,0
,Aledo,11,0,0,0,11,91,23,63,5,0
,Algonquin,79,0,2,2,75,529,50,476,3,2
,Alton,174,4,16,27,127,"1,265",292,913,60,12
,Antioch,5,0,1,0,4,296,26,264,6,1
,Arcola,3,0,0,0,3,11,4,7,0,0
,Arlington Heights,41,0,5,12,24,"1,154",153,978,23,4
,Arthur,0,0,0,0,0,43,10,31,2,0
,Ashland,0,0,0,0,0,6,0,5,1,1
,Ashton,0,0,0,0,0,18,5,13,0,0
,Atwood,1,0,0,0,1,10,4,6,0,0
,Aurora,634,4,64,113,453,"3,767",820,"2,809",138,31
,Aviston,0,0,0,0,0,3,0,3,0,0
,Bannockburn,0,0,0,0,0,28,6,22,0,0
,Barrington,0,0,0,0,0,127,15,107,5,0
,Barrington Hills,2,0,0,1,1,46,4,42,0,5
,Bartlett,21,0,4,3,14,373,34,328,11,10
,Bartonville,27,0,0,2,25,216,36,173,7,1
,Batavia,40,0,3,3,34,509,56,447,6,8
,Beckemeyer,0,0,0,0,0,8,6,2,0,0
,Beecher,2,0,1,0,1,41,5,36,0,1
,Belgium,0,0,0,0,0,0,0,0,0,0
,Bellwood,73,2,0,22,49,369,87,228,54,3
,Belvidere,67,0,21,7,39,515,88,408,19,6
,Benton,46,0,0,1,45,330,77,244,9,0
,Berkeley,16,0,4,3,9,104,15,88,1,0
,Berwyn,205,1,15,74,115,"1,257",397,753,107,11
,Bethalto,10,0,3,0,7,28,7,20,1,0
,Blandinsville,0,0,0,0,0,5,3,2,0,0
,Bloomingdale,11,1,3,3,4,849,42,802,5,1
,Bloomington,385,1,43,75,266,"1,960",493,"1,414",53,11
,Blue Mound,4,0,0,0,4,17,10,7,0,0
,Bourbonnais,24,0,8,0,16,333,49,276,8,0
,Bradley,47,1,7,6,33,798,66,724,8,2
,Braidwood,8,0,0,0,8,121,17,101,3,0
,Bridgeview,36,0,6,7,23,459,58,368,33,1
,Broadview,36,0,0,26,10,362,79,261,22,1
,Brooklyn,34,0,4,10,20,60,21,21,18,10
,Buda,0,0,0,0,0,1,0,1,0,0
,Buffalo Grove,8,0,3,4,1,392,46,341,5,2
,Bull Valley,0,0,0,0,0,8,3,5,0,0
,Bunker Hill,15,0,0,0,15,27,10,17,0,0
,Burbank,67,0,4,17,46,611,87,488,36,0
,Burr Ridge,1,0,0,0,1,156,26,129,1,0
,Byron,5,1,2,0,2,70,3,64,3,0
,Cahokia,58,1,3,27,27,864,253,611,0,4
,Cairo,93,0,8,5,80,212,84,118,10,2
,Calumet City,247,4,31,160,52,"2,694",688,"1,688",318,4
,Cambridge,0,0,0,0,0,10,3,7,0,0
,Campton Hills,2,0,0,0,2,63,12,50,1,0
,Canton,47,1,16,2,28,368,71,291,6,4
,Carbondale,244,1,33,47,163,"1,155",302,821,32,14
,Carlinville,14,0,0,3,11,173,23,148,2,1
,Carlyle,8,0,1,1,6,90,1,82,7,0
,Carol Stream,44,0,7,9,28,577,75,476,26,13
,Carpentersville,43,1,1,13,28,579,113,463,3,4
,Carrier Mills,14,0,0,1,13,30,11,19,0,0
,Carrollton,7,0,0,0,7,37,4,32,1,0
,Carthage,4,0,0,0,4,53,9,44,0,0
,Caseyville,17,0,4,11,2,102,24,73,5,2
,Catlin,1,0,0,1,0,11,1,10,0,0
,Central City,0,0,0,0,0,33,6,23,4,0
,Centralia,101,0,13,13,75,805,212,569,24,1
,Cerro Gordo,9,0,0,0,9,15,3,12,0,0
,Charleston,60,0,15,2,43,329,116,204,9,2
,Chatham,14,0,2,0,12,134,25,104,5,1
,Chester,29,0,7,1,21,103,31,62,10,0
,Chicago7,,432,,"14,213","13,757","120,045","26,203","74,764","19,078",
,Clarendon Hills,0,0,0,0,0,76,15,60,1,0
,Clayton,0,0,0,0,0,7,1,6,0,0
,Coal City,6,0,1,0,5,158,19,139,0,0
,Coal Valley,1,0,0,0,1,50,5,45,0,0
,Cobden,1,0,0,0,1,7,0,7,0,0
,Colfax,0,0,0,0,0,14,5,9,0,0
,Collinsville,55,1,4,12,38,729,98,606,25,2
,Colona,23,0,11,1,11,82,23,58,1,0
,Columbia,6,0,1,0,5,136,20,111,5,2
,Cortland,5,0,0,0,5,54,3,51,0,2
,Country Club Hills,64,0,10,23,31,572,150,406,16,6
,Countryside,6,0,2,3,1,211,9,193,9,0
,Crestwood,15,0,1,7,7,478,55,370,53,0
,Crete,10,0,0,1,9,184,39,137,8,4
,Crystal Lake,54,1,3,3,47,827,97,717,13,9
,Danville,348,1,35,86,226,"2,178",826,"1,295",57,9
,Darien,12,3,0,6,3,277,40,221,16,2
,Decatur,468,4,20,136,308,"3,121","1,514","1,481",126,27
,Deerfield,8,0,2,1,5,172,14,158,0,0
,Deer Park,0,0,0,0,0,47,7,39,1,0
,De Kalb,162,2,28,25,107,"1,246",205,"1,021",20,15
,Delavan,4,0,0,0,4,37,10,25,2,0
,De Pue,2,0,1,0,1,36,4,32,0,0
,De Soto,4,0,0,0,4,19,8,11,0,0
,Des Plaines,57,0,10,7,40,729,141,551,37,4
,Divernon,1,0,0,0,1,29,6,23,0,0
,Dixon,31,0,16,2,13,503,60,437,6,0
,Downers Grove,41,0,2,13,26,946,127,801,18,16
,Du Quoin,10,0,0,2,8,117,19,94,4,1
,Durand,3,0,0,0,3,18,1,17,0,0
,Dwight,3,0,0,1,2,30,8,20,2,0
,East Alton,15,1,3,2,9,328,48,264,16,0
,East Dubuque,13,0,0,0,13,32,4,25,3,0
,East Hazel Crest,1,0,0,1,0,78,31,43,4,0
,East Moline,74,1,13,8,52,563,174,357,32,4
,Easton,0,0,0,0,0,1,0,0,1,0
,East Peoria,118,0,32,9,77,754,175,542,37,7
,East St. Louis,"1,642",21,74,276,"1,271","2,516","1,091",781,644,58
,Edinburg,1,0,0,0,1,9,4,4,1,0
,Edwardsville,20,0,2,1,17,432,42,380,10,1
,Effingham,25,1,9,2,13,360,53,300,7,3
,Elgin,355,4,86,99,166,"2,186",425,"1,653",108,7
,Elizabeth,0,0,0,0,0,13,9,3,1,0
,Elk Grove Village,38,0,10,6,22,752,97,595,60,2
,Elmhurst,22,0,5,7,10,655,85,545,25,0
,Elmwood,6,0,0,0,6,25,8,17,0,0
,Elmwood Park,29,1,1,10,17,376,85,263,28,1
,El Paso,3,0,3,0,0,20,5,15,0,1
,Energy,2,0,0,0,2,18,6,12,0,0
,Eureka,10,0,2,0,8,94,17,76,1,0
,Evanston,213,6,8,73,126,"2,101",429,"1,606",66,14
,Evergreen Park,33,0,7,18,8,689,48,620,21,0
,Fairfield,11,0,4,0,7,93,25,67,1,1
,Fairmont City,1,0,1,0,0,65,17,44,4,0
,Fairmount,0,0,0,0,0,1,0,1,0,0
,Fairview,0,0,0,0,0,1,1,0,0,0
,Fairview Heights,37,0,3,6,28,954,60,864,30,9
,Fithian,0,0,0,0,0,0,0,0,0,0
,Flora,4,0,0,0,4,137,6,126,5,0
,Flossmoor,7,0,0,3,4,177,50,125,2,0
,Forest Park,34,0,0,21,13,713,89,582,42,2
,Forest View,1,0,0,0,1,33,2,18,13,0
,Fox Lake,28,0,6,4,18,300,46,245,9,2
,Fox River Grove,5,1,0,0,4,87,15,71,1,1
,Frankfort,15,0,2,2,11,303,17,279,7,1
,Franklin Grove,3,0,2,0,1,17,4,13,0,0
,Freeport,49,0,5,15,29,880,238,633,9,6
,Fulton,6,0,1,0,5,54,14,37,3,0
,Geneseo,7,0,0,0,7,104,15,88,1,0
,Geneva,9,0,0,0,9,313,25,285,3,1
,Genoa,5,0,4,0,1,43,3,36,4,0
,Georgetown,8,0,2,0,6,72,28,42,2,0
,Germantown,0,0,0,0,0,1,0,1,0,0
,Gibson City,7,0,0,0,7,61,21,39,1,0
,Gifford,1,0,0,1,0,3,0,3,0,0
,Gilberts,6,1,2,0,3,49,11,37,1,0
,Gillespie,13,0,1,0,12,67,14,50,3,1
,Gilman,1,0,0,0,1,5,2,3,0,0
,Girard,8,0,0,0,8,18,8,9,1,0
,Glasford,2,0,0,0,2,3,1,2,0,0
,Glendale Heights,39,0,9,12,18,582,60,505,17,4
,Glen Ellyn,10,0,2,1,7,389,58,325,6,5
,Glenwood,19,0,2,9,8,204,84,77,43,0
,Grafton,1,0,0,0,1,25,7,17,1,0
,Grand Tower,0,0,0,0,0,9,3,6,0,3
,Grandview,10,0,0,0,10,34,17,15,2,0
,Granite City,158,0,31,22,105,777,281,490,6,13
,Grantfork,0,0,0,0,0,2,1,0,1,0
,Grant Park,5,0,0,2,3,12,2,10,0,0
,Granville,0,0,0,0,0,3,1,2,0,0
,Grayslake,24,0,4,2,18,469,61,399,9,4
,Grayville,15,0,0,1,14,24,4,18,2,1
,Greenville,2,0,0,0,2,126,22,103,1,0
,Gurnee,28,0,5,5,18,"1,365",79,"1,263",23,0
,Hampshire,2,0,0,1,1,64,18,45,1,0
,Hanover,24,0,0,0,24,20,3,17,0,0
,Hanover Park,49,0,10,15,24,536,81,436,19,0
,Harvard,4,0,1,1,2,89,16,72,1,0
,Harvey,401,12,20,239,130,"1,766",755,753,258,9
,Harwood Heights,1,0,0,0,1,157,34,115,8,0
,Hawthorn Woods,1,0,0,0,1,34,0,29,5,0
,Hazel Crest,40,2,7,24,7,529,167,315,47,2
,Henning,0,0,0,0,0,0,0,0,0,0
,Henry,9,0,1,0,8,51,12,38,1,0
,Herrin,174,1,5,1,167,467,243,205,19,4
,Hickory Hills,20,0,2,4,14,297,31,252,14,0
