,Project_code,Unsuitable,Suitable,Bridge_classification,Crossing,Days_per_year_river_is_flooded,River_crossing_injuries_in_last_3_years,Cell_service_quality,4WD_Accessibility,Bridge_Type,Proposed_Bridge_Location(GPS)(Latitude),Proposed_Bridge_Location(GPS)(Longitude),Height_differential_between_banks,Estimated_span(m)
1402,1014507,0.8334602066992131,0.16653979330078691,Standard,none,0.0,0.0,Good,Year Round,Suspension,-2.011603,30.082825,10.0,30.0
1403,1014508,0.7322433794888843,0.26775662051111565,Standard,timber,0.0,0.0,Good,Year Round,Suspended,-1.94362,30.121686,10.0,35.0
1404,1014509,0.6476607602068489,0.352339239793151,Standard,timber,35.0,0.0,Fair,Seasonally,Suspension,-2.21354,30.437908,0.6,30.4
1405,1014511,0.784092259297956,0.2159077407020439,Standard,timber,80.0,0.0,Good,Seasonally,Suspension,-2.008345,30.412562,0.2,39.4
1406,1014512,0.7446398446231769,0.2553601553768231,Standard,timber,56.0,0.0,Good,Seasonally,Suspended,-2.025878,30.360528,0.0,41.4
1407,1014532,0.05160570035050259,0.9483942996494974,Standard,timber,30.0,0.0,Good,Seasonally,Suspension,-1.65754,30.2992,0.8,40.0
1408,1014533,0.05160570035050259,0.9483942996494974,Standard,timber,30.0,0.0,Fair,Seasonally,Suspension,-1.65055,30.30473,0.2,40.0
1409,1014534,0.1310454695890952,0.8689545304109049,Standard,timber,365.0,0.0,Fair,Year Round,Suspended,-1.665,30.29284,0.8,30.0
1412,1014537,0.7555273548439826,0.24447264515601747,Standard,timber,15.0,0.0,Fair,Never,Suspended,-1.60164,30.19772,0.0,30.0
1413,1014538,0.18547301830999358,0.8145269816900065,Standard,timber,0.0,0.0,Good,Year Round,Suspension,-1.8953,30.30129,0.0,30.0
1414,1014539,0.3347808700574043,0.6652191299425957,Standard,timber,365.0,1.0,Good,Year Round,Suspended,-1.88269,30.26579,1.0,30.0
1415,1014540,0.17303794338915202,0.8269620566108479,Standard,timber,0.0,0.0,Good,Never,Suspended,-1.86879,30.28184,0.2,30.0
1416,1014541,0.6091060683236783,0.3908939316763217,Standard,none,365.0,0.0,Good,Never,Suspension,-2.01494,30.2304,0.2,30.0
