,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1007458,1007458,1014405,1007366,1007364,1014403,1014402,1007454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007463,1007486,1007463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007465,1007465,1013464,1013343,1013467,1013478,1013247,1013261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007469,1014497,1014036,1013539,1013903,1013340,1013268,1013007,1007469,1013461,1013692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007471,1007471,1012457,1014126,1013289,1012697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007472,1007472,1012696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007473,1014314,1007553,1010574,1009064,1013666,1007356,1014333,1013275,1007473,1013339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007477,1007479,1007477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007491,1014055,1014017,1013463,1014016,1014165,1012982,1013661,1007491,1013680,1007484,1013664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007497,1013874,1012823,1007423,1013799,1007497,1013898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007499,1013813,1007489,1013480,1007390,1007499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007508,1013896,1007508,1014113,1014137,1013380,1010844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007515,1013867,1014269,1007515,1007339,1010583,1007899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007522,1012832,1013543,1014150,1013639,1013333,1014080,1013544,1014034,1014613,1014161,1014081,1013689,1013638,1013671,1007522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007528,1013613,1013658,1013566,1013889,1013914,1007528,1007589,1007521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007538,1013450,1013716,1007348,1011307,1010422,1007538,1013452,1013451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007548,1013643,1007678,1012989,1013630,1013644,1012700,1007674,1007548,1007665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007556,1013458,1012809,1007556,1013482,1013788,1014241,1012540,1013691,1014345,1014121,1013270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007557,1013271,1012831,1013252,1013883,1014270,1014152,1012550,1013904,1014112,1014048,1013555,1007557,1012701,1013886,1013545,1013888,1014114,1014033,1014539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007562,1014274,1007552,1014499,1013881,1007518,1013872,1007562,1014498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007570,1014061,1007570,1007380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007582,1007535,1007534,1007582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007593,1011305,1013224,1013808,1013568,1014603,1013650,1011306,1013809,1007593,1013353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007599,1007599,1013758,1013873,1013682,1013579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007600,1014350,1007604,1014353,1014348,1014354,1013780,1010576,1013320,1014426,1014239,1014360,1014043,1014793,1010409,1013837,1007606,1014355,1013779,1007600,1014044,1014361,1014370,1014432,1014570,1014371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007604,1014350,1007604,1014353,1014348,1014354,1013780,1010576,1013320,1014426,1014239,1014360,1014043,1014793,1010409,1013837,1007606,1014355,1013779,1007600,1014044,1014361,1014370,1014432,1014570,1014371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007617,1012547,1007347,1014448,1013731,1013880,1013751,1007617,1013425,1010427,1012984,1007536,1013500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007620,1014449,1014599,1014463,1007620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007629,1014485,1014464,1014479,1014474,1014487,1014422,1014377,1014435,1014486,1014382,1014554,1014484,1014481,1014423,1014491,1014421,1014300,1014381,1014428,1014483,1014509,1014408,1014490,1014495,1014472,1007415,1014430,1014482,1013711,1014384,1014429,1014555,1014352,1013019,1014425,1007629,1014556,1007417,1014427,1007414,1014470,1014462,1014368,1014473,1014388,1014383,1014385,1014367,1014369,1007622,1007416,1014433,1014424,1007532,1014492,1014493,1014494,1014469,,,,
1007630,1011303,1014277,1014276,1011302,1011304,1007573,1014295,1012004,1013470,1011313,1011316,1011309,1007607,1013804,1012991,1007429,1007630,1022905,1013595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007635,1007635,1014085,1014089,1014103,1014104,1014021,1014020,1014301,1014097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007636,1014125,1007658,1014052,1007636,1013475,1013772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007637,1007591,1007647,1013383,1013312,1007637,1013726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007642,1013309,1014065,1013810,1013812,1007343,1013505,1014054,1013699,1007621,1007642,1007574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007647,1007591,1007647,1013383,1013312,1007637,1013726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007649,1013783,1007649,1013782,1013781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007660,1014169,1012480,1007661,1013311,1007660,1014091,1007662,1014090,1014100,1014008,1007657,1014168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007670,1014014,1013981,1012998,1013979,1007654,1013980,1014018,1013982,1014012,1013988,1013983,1014015,1007666,1013918,1007663,1014096,1013917,1014131,1013987,1013631,1013925,1014013,1012978,1013926,1013924,1007670,1013985,1007664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007672,1007672,1013255,1007577,1007592,1013675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007673,1013634,1007673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007676,1012812,1007676,1013645,1012987,1012988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007898,1013553,1007898,1009280,1013010,1010842,1013628,1013330,1014334,1014332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007899,1013867,1014269,1007515,1007339,1010583,1007899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008002,1007419,1013554,1013811,1007542,1013922,1007398,1013919,1013540,1014323,1008002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009280,1013553,1007898,1009280,1007584,1010842,1013010,1013628,1013330,1014334,1014332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009296,1014605,1010578,1013714,1009296,1007344,1007428,1014612,1013601,1013679,1007425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009313,1014541,1014349,1013693,1009313,1014031,1007422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009426,1014072,1007597,1014608,1007352,1012810,1013905,1009426,1013681,1012699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009714,1014389,1014418,1010575,1010573,1010581,1009714,1009715,1014409,1014390,1010572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010422,1010919,1013802,1013716,1007348,1011307,1010422,1010908,1007538,1013452,1013451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010427,1012547,1013802,1014448,1013731,1013880,1013751,1007617,1013241,1013425,1013717,1010427,1013721,1012984,1013500,1013459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
